storey,wall_name,x1,y1,x2,y2,length_m
Ground Floor,WAL-E-020,37.97,-25.5388,35.6485,-27.6973,3.17
Ground Floor,WAL-E-020,35.4291,-27.6964,37.5749,-25.7013,2.93
Ground Floor,WAL-E-020,35.6485,-27.6973,37.9768,-25.5461,3.17
Ground Floor,WAL-E-020,35.4291,-27.6964,35.2589,-27.5133,0.25
Ground Floor,WAL-E-020,35.2589,-27.5133,37.4047,-25.5182,2.93
Ground Floor,WAL-I-033,24.4289,-17.5102,22.122,-19.6551,3.15
Ground Floor,WAL-I-033,22.1901,-19.7284,24.497,-17.5834,3.15
Ground Floor,WAL-I-033,24.4289,-17.5102,22.122,-19.6551,3.15
Ground Floor,WAL-I-033,24.497,-17.5834,22.122,-19.6551,3.1516
Ground Floor,WAL-I-033,22.1901,-19.7284,24.497,-17.5834,3.15
Ground Floor,WAL-I-033,22.1901,-19.7284,22.122,-19.6551,0.1
Ground Floor,WAL-I-033,24.497,-17.5834,24.4289,-17.5102,0.1
Ground Floor,WAL-I-033,24.497,-17.5834,24.4289,-17.5102,0.1
Ground Floor,WAL-I-033,24.497,-17.5834,24.4289,-17.5102,0.1
Ground Floor,WAL-I-001,24.8979,-21.1721,24.1656,-21.8531,1.0
Ground Floor,WAL-I-001,24.8979,-21.1721,24.966,-21.2454,0.1
Ground Floor,WAL-I-001,24.1656,-21.8531,24.2337,-21.9263,0.1
Ground Floor,WAL-I-001,24.966,-21.2454,24.2337,-21.9263,1.0
Ground Floor,WAL-I-001,24.8979,-21.1721,24.2337,-21.9263,1.005
Ground Floor,WAL-I-007,25.5056,-21.9726,25.6469,-21.9777,0.1414
Ground Floor,WAL-I-007,26.9884,-23.5674,26.4589,-22.9979,0.7777
Ground Floor,WAL-I-007,27.0617,-23.4993,26.5321,-22.9298,0.7777
Ground Floor,WAL-I-007,25.5737,-22.0458,25.6469,-21.9777,0.1
Ground Floor,WAL-I-007,26.4589,-22.9979,26.5321,-22.9298,0.1
Ground Floor,WAL-I-007,25.778,-22.2655,25.5737,-22.0458,0.3
Ground Floor,WAL-I-007,25.8512,-22.1974,25.5056,-21.9726,0.4123
Ground Floor,WAL-I-007,25.8512,-22.1974,25.6469,-21.9777,0.3
Ground Floor,WAL-I-007,25.778,-22.2655,25.5737,-22.0458,0.3
Ground Floor,WAL-I-007,25.5056,-21.9726,25.5788,-21.9045,0.1
Ground Floor,WAL-I-007,26.9884,-23.5674,27.0617,-23.4993,0.1
